table,scope,group,approach,tool,dimension,value,n,tp,fp,fn,tn,precision,recall,f1,accuracy
effectiveness,version_same,BCSD,BinDiff,bindiff,overall,all,480,117,39,123,201,0.750000,0.487500,0.590909,0.662500
effectiveness,version_same,BCSD,JTrans,jtrans,overall,all,480,117,95,123,145,0.551887,0.487500,0.517699,0.545833
effectiveness,version_same,BCSD,Librarian,librarian,overall,all,480,144,4,96,236,0.972973,0.600000,0.742268,0.791667
effectiveness,version_same,BCSD,Librarian++,librarian++,overall,all,480,216,8,24,232,0.964286,0.900000,0.931034,0.933333
effectiveness,version_same,BCSD,Librarian++-no-binutils,librarian++-no-binutils,overall,all,480,212,4,28,236,0.981481,0.883333,0.929825,0.933333
effectiveness,version_same,BCSD,VSim,vsim,overall,all,480,166,101,74,139,0.621723,0.691667,0.654832,0.635417
effectiveness,version_same,Dolphin,Dolphin-DS,dolphin-deepseek-v4-pro,overall,all,480,212,27,28,213,0.887029,0.883333,0.885177,0.885417
effectiveness,version_same,Dolphin,Dolphin-GLM,dolphin-glm-5.1,overall,all,480,222,62,18,178,0.781690,0.925000,0.847328,0.833333
effectiveness,version_same,Dolphin,Dolphin-GPT,dolphin-gpt-5.5,overall,all,480,223,18,17,222,0.925311,0.929167,0.927235,0.927083
effectiveness,version_same,Dolphin,Dolphin-MM,dolphin-minimax-m3,overall,all,480,222,53,18,187,0.807273,0.925000,0.862136,0.852083
robustness,version_same,BCSD,BinDiff,bindiff,architecture,arm,240,48,13,72,107,0.786885,0.400000,0.530387,0.645833
robustness,version_same,BCSD,BinDiff,bindiff,architecture,x86-64,240,69,26,51,94,0.726316,0.575000,0.641860,0.679167
robustness,version_same,BCSD,BinDiff,bindiff,compiler,clang,240,69,23,51,97,0.750000,0.575000,0.650943,0.691667
robustness,version_same,BCSD,BinDiff,bindiff,compiler,gcc,240,48,16,72,104,0.750000,0.400000,0.521739,0.633333
robustness,version_same,BCSD,BinDiff,bindiff,optimization,O2,240,60,21,60,99,0.740741,0.500000,0.597015,0.662500
robustness,version_same,BCSD,BinDiff,bindiff,optimization,O3,240,57,18,63,102,0.760000,0.475000,0.584615,0.662500
robustness,version_same,BCSD,VSim,vsim,architecture,arm,240,81,59,39,61,0.578571,0.675000,0.623077,0.591667
robustness,version_same,BCSD,VSim,vsim,architecture,x86-64,240,85,42,35,78,0.669291,0.708333,0.688259,0.679167
robustness,version_same,BCSD,VSim,vsim,compiler,clang,240,82,49,38,71,0.625954,0.683333,0.653386,0.637500
robustness,version_same,BCSD,VSim,vsim,compiler,gcc,240,84,52,36,68,0.617647,0.700000,0.656250,0.633333
robustness,version_same,BCSD,VSim,vsim,optimization,O2,240,85,54,35,66,0.611511,0.708333,0.656371,0.629167
robustness,version_same,BCSD,VSim,vsim,optimization,O3,240,81,47,39,73,0.632812,0.675000,0.653226,0.641667
robustness,version_same,BCSD,JTrans,jtrans,architecture,arm,240,35,36,85,84,0.492958,0.291667,0.366492,0.495833
robustness,version_same,BCSD,JTrans,jtrans,architecture,x86-64,240,82,59,38,61,0.581560,0.683333,0.628352,0.595833
robustness,version_same,BCSD,JTrans,jtrans,compiler,clang,240,79,73,41,47,0.519737,0.658333,0.580882,0.525000
robustness,version_same,BCSD,JTrans,jtrans,compiler,gcc,240,38,22,82,98,0.633333,0.316667,0.422222,0.566667
robustness,version_same,BCSD,JTrans,jtrans,optimization,O2,240,58,47,62,73,0.552381,0.483333,0.515556,0.545833
robustness,version_same,BCSD,JTrans,jtrans,optimization,O3,240,59,48,61,72,0.551402,0.491667,0.519824,0.545833
robustness,version_same,Dolphin,Dolphin-GPT,dolphin-gpt-5.5,architecture,arm,240,109,7,11,113,0.939655,0.908333,0.923729,0.925000
robustness,version_same,Dolphin,Dolphin-GPT,dolphin-gpt-5.5,architecture,x86-64,240,114,11,6,109,0.912000,0.950000,0.930612,0.929167
robustness,version_same,Dolphin,Dolphin-GPT,dolphin-gpt-5.5,compiler,clang,240,112,7,8,113,0.941176,0.933333,0.937238,0.937500
robustness,version_same,Dolphin,Dolphin-GPT,dolphin-gpt-5.5,compiler,gcc,240,111,11,9,109,0.909836,0.925000,0.917355,0.916667
robustness,version_same,Dolphin,Dolphin-GPT,dolphin-gpt-5.5,optimization,O2,240,110,10,10,110,0.916667,0.916667,0.916667,0.916667
robustness,version_same,Dolphin,Dolphin-GPT,dolphin-gpt-5.5,optimization,O3,240,113,8,7,112,0.933884,0.941667,0.937759,0.937500
