K,candidate_rank_cutoff,stage2_max_path_length,rows,avg_path_length,feature_related_recall,feature_related_density,feature_hint_recall,feature_hint_density,stage2_precision,stage2_recall,stage2_f1,stage2_avg_tokens_per_task,stage2_avg_time_seconds_per_task
1,1,10,2400,8.814166666666667,0.39791666666666664,0.39791666666666664,0.17228260869565218,0.17228260869565218,0.834035,0.860938,0.846462,76629.147917,43.506655
3,1,10,2400,9.6875,0.72125,0.72125,0.28858695652173916,0.28858695652173916,0.837998,0.891146,0.862864,122391.621615,51.563303
5,1,10,2400,9.866666666666667,0.72125,0.72125,0.28804347826086957,0.28804347826086957,0.829231,0.891667,0.858262,140064.345573,69.736357
1,5,5,2400,8.814166666666667,0.82,0.3934166666666667,0.46304347826086956,0.1298913043478261,0.819103,0.815104,0.814936,55110.554948,36.250291
3,5,5,2400,9.6875,0.8995833333333333,0.60325,0.5934782608695652,0.17478260869565218,0.823952,0.878646,0.849422,97272.946615,47.187167
5,5,5,2400,9.866666666666667,0.9083333333333333,0.589,0.6054347826086957,0.17152173913043478,0.816818,0.882292,0.846840,100567.414062,45.955281
1,10,10,2400,8.814166666666667,0.8966666666666666,0.378125,0.6244565217391305,0.09717391304347826,0.834035,0.860938,0.846462,76629.147917,43.506655
3,10,10,2400,9.6875,0.9208333333333333,0.511625,0.7032608695652174,0.11195652173913044,0.837998,0.891146,0.862864,122391.621615,51.563303
5,10,10,2400,9.866666666666667,0.9233333333333333,0.5073333333333333,0.7081521739130435,0.11244565217391304,0.829231,0.891667,0.858262,140064.345573,69.736357
